상호명,지점명,상권업종소분류명,시도명,시군구명,행정동명,경도,위도
할리스커피,선릉점,커피전문점/카페/다방,서울특별시,강남구,대치4동,127.0505138,37.50336248
두공간,,커피전문점/카페/다방,서울특별시,은평구,갈현2동,126.9193724,37.61865868
간단하지만특별한화피디Cafe,에델리아하이마트점,커피전문점/카페/다방,서울특별시,강남구,대치2동,127.0638154,37.49423281
문스트럭,,커피전문점/카페/다방,서울특별시,강남구,대치4동,127.0532526,37.49695993
브레쉬에비뉴,우성아파트점,커피전문점/카페/다방,서울특별시,송파구,잠실7동,127.074184,37.50718163
커피빈,코리아역삼역4번출구점,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0348844,37.50064078
카르페디엠,,커피전문점/카페/다방,서울특별시,영등포구,영등포본동,126.9076472,37.51566141
올몰,,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0354692,37.50001482
카페헐리우드,,커피전문점/카페/다방,서울특별시,서대문구,신촌동,126.9456571,37.56532993
청구성심병원점,,커피전문점/카페/다방,서울특별시,은평구,갈현1동,126.9196576,37.62086882
르마들렝,,커피전문점/카페/다방,서울특별시,성동구,성수2가3동,127.0662213,37.54801776
폴바셋,국회의사당역점,커피전문점/카페/다방,서울특별시,영등포구,여의동,126.9197464,37.52852246
토끼와거북이,,커피전문점/카페/다방,서울특별시,마포구,대흥동,126.9398972,37.54923983
SDS커피&,,커피전문점/카페/다방,서울특별시,송파구,잠실6동,127.1012058,37.51657211
커피커피플리즈,,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0287628,37.4991309
할리스커피,국기원점,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0295819,37.49963321
카페원두마크CAFEWONDUMARK,,커피전문점/카페/다방,서울특별시,은평구,신사2동,126.9068248,37.59213391
부나빈,,커피전문점/카페/다방,서울특별시,서초구,양재1동,127.0137673,37.45605326
코레일유통커피엔스위트,,커피전문점/카페/다방,서울특별시,금천구,가산동,126.8895036,37.46597974
cafe내자리,,커피전문점/카페/다방,서울특별시,서초구,서초4동,127.0235525,37.50321477
대익보이차,,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0306379,37.49930849
커피베이신방화역점,신방화역점,커피전문점/카페/다방,서울특별시,강서구,방화1동,126.8177536,37.56718184
테이크아웃커피전문점,,커피전문점/카페/다방,서울특별시,동작구,신대방2동,126.9274321,37.49744337
블렌드13,,커피전문점/카페/다방,서울특별시,금천구,가산동,126.8842374,37.46966949
할리스,에프앤비노원2호점,커피전문점/카페/다방,서울특별시,노원구,상계2동,127.0618724,37.65650478
백인대장카페,,커피전문점/카페/다방,서울특별시,양천구,목5동,126.8800789,37.53619022
엠엠티에이치005,,커피전문점/카페/다방,서울특별시,중구,소공동,126.9775771,37.56372751
아카데미카페,,커피전문점/카페/다방,서울특별시,강남구,대치2동,127.0621611,37.49901331
이디야커피,중계롯데우성점,커피전문점/카페/다방,서울특별시,노원구,중계1동,127.0727538,37.64636407
할리스도심공항점2,,커피전문점/카페/다방,서울특별시,강남구,삼성1동,127.0594268,37.50962404
인광로스팅커피,,커피전문점/카페/다방,서울특별시,송파구,석촌동,127.1089947,37.50272779
cafe멍,,커피전문점/카페/다방,서울특별시,송파구,가락2동,127.1350569,37.49259532
카페반디앤루니스,,커피전문점/카페/다방,서울특별시,관악구,서원동,126.9302159,37.48384475
폴바셋서울세관사거리,,커피전문점/카페/다방,서울특별시,강남구,논현2동,127.0357298,37.51581243
"커피,와+,버블티",,커피전문점/카페/다방,서울특별시,강서구,화곡본동,126.8468169,37.54255576
미스터디저트,,커피전문점/카페/다방,서울특별시,강남구,대치2동,127.0608664,37.49944455
폴바셋강남구청역점,강남구청역점,커피전문점/카페/다방,서울특별시,강남구,청담동,127.0416233,37.51758141
커피앤,,커피전문점/카페/다방,서울특별시,송파구,문정2동,127.124941,37.47760822
설빙,강남역2호점,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0261186,37.50331705
아라코북카페지점,,커피전문점/카페/다방,서울특별시,서초구,반포4동,127.0028618,37.49760858
설빙,,커피전문점/카페/다방,서울특별시,동작구,신대방2동,126.9248303,37.49118447
코레일유통커피앤스위트,가산점,커피전문점/카페/다방,서울특별시,금천구,가산동,126.8825452,37.48158336
제이에스커피랩,,커피전문점/카페/다방,서울특별시,서초구,방배4동,126.9831198,37.48815043
핸즈온캠퍼스,,커피전문점/카페/다방,서울특별시,용산구,한강로동,126.9596008,37.53288995
DUDART,,커피전문점/카페/다방,서울특별시,강동구,천호2동,127.1270741,37.5400945
lamp,,커피전문점/카페/다방,서울특별시,강남구,수서동,127.1030943,37.48731104
할러스커피,,커피전문점/카페/다방,서울특별시,종로구,종로1.2.3.4가동,126.9901168,37.57057523
예설,,커피전문점/카페/다방,서울특별시,광진구,광장동,127.103374,37.54617924
ceccoBeppe카페,,커피전문점/카페/다방,서울특별시,서초구,서초3동,127.0082175,37.48942704
빽다방커피,,커피전문점/카페/다방,서울특별시,서초구,서초1동,127.0154469,37.49346116
엠키친앤카페,,커피전문점/카페/다방,서울특별시,동대문구,전농1동,127.047629,37.58170357
데니스커피남강점,커피남강점,커피전문점/카페/다방,서울특별시,관악구,난곡동,126.9190068,37.47233543
모노치즈카폐,,커피전문점/카페/다방,서울특별시,종로구,혜화동,126.9976535,37.58428123
로씨,,커피전문점/카페/다방,서울특별시,동대문구,장안1동,127.0617076,37.56593988
붐커피,,커피전문점/카페/다방,서울특별시,서초구,양재2동,127.0425129,37.4745001
투앤쓰리카페,,커피전문점/카페/다방,서울특별시,구로구,구로3동,126.8937,37.48651796
또봄,,커피전문점/카페/다방,서울특별시,강동구,명일2동,127.1556149,37.54789793
MMTH,,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0294596,37.49772197
TWOSME+,,커피전문점/카페/다방,서울특별시,강남구,압구정동,127.0369963,37.52288701
SELECTOCOFFEE,,커피전문점/카페/다방,서울특별시,구로구,구로3동,126.8934671,37.48160507
24h스터디모임카페,,커피전문점/카페/다방,서울특별시,관악구,청룡동,126.9500939,37.47978813
HIPPO커피,,커피전문점/카페/다방,서울특별시,서초구,양재2동,127.0448134,37.47584328
